Account Name,Hero Ad,Version,Creator Name,Min Date,Max Date,Spend,Impressions,Installs,Post Engagement,Video Views,Purchases,CTR (%),CPC ($),CPI ($),Installs Per Mile,CPA ($),Purchase Per Mile,3sec Video View Rate (%),25% Video View Rate (%),50% Video View Rate (%),75% Video View Rate (%),100% Video View Rate (%),Install Rate (%),Subs Rate (%),revenue,ROAS
Photoleap Android,SketchtoAI,Doodle,manuel,3/1/2023,6/24/2024,$88.19,"11,224",34,"3,595","3,498",7,0.67%,$1.18,$2.6,302.92%,$12.60,62.37%,31.20%,26.00%,14.90%,8.70%,5.10%,45.30%,20.60%,,
Photoleap Android,DNDeasyToDo,Madaly,manuel,3/1/2023,6/24/2024,$36.52,"9,170",35,"1,863","1,797",,0.56%,$0.72,$1.0,381.68%,,,19.60%,8.20%,6.00%,2.90%,1.70%,68.60%,,,
Photoleap Android,SitcomSanta,CanelaXmas,manuel,3/1/2023,6/24/2024,$20.69,779,,224,219,,0.26%,$10.35,,,,,28.10%,21.20%,13.90%,10.90%,8.30%,,,,
Photoleap Android,SitcomSanta,Red,manuel,3/1/2023,6/24/2024,$9.72,438,,173,172,,0.23%,$9.72,,,,,39.30%,30.80%,24.40%,18.90%,12.60%,,,,
Photoleap Android,AcuamanuLong,Manu,manuel,3/1/2023,6/24/2024,$26.67,"2,382",12,834,811,1,0.80%,$1.40,$2.2,503.78%,$26.67,41.98%,34.00%,27.70%,12.90%,9.10%,7.60%,63.20%,8.30%,,
Photoleap Android,Acuamamanushort,Manu,manuel,3/1/2023,6/24/2024,$12.72,"1,648",8,333,325,1,0.36%,$2.12,$1.6,485.44%,$12.72,60.68%,19.70%,20.30%,11.30%,6.10%,4.40%,133.30%,12.50%,,
Photoleap Android,SketchtoAi,doodleshort,manuel,3/1/2023,6/24/2024,$6.75,"1,446",4,497,492,,0.28%,$1.69,$1.7,276.63%,,,34.00%,48.10%,32.00%,24.30%,11.20%,100.00%,,,
Videoleap IOS - UTC,AIVoiceSawpZoey,ZoeyIDisclamer,manuel,3/1/2023,6/24/2024,"$18,134.26","3,022,204","3,068","984,761","959,502",385,0.65%,$0.92,$5.9,101.52%,$47.10,12.74%,31.70%,20.10%,5.60%,3.20%,1.20%,15.50%,12.50%,$162.58,0.90%
Videoleap IOS - UTC,AIVoiceSawpZoey,ZoeyIIDisclamer,manuel,3/1/2023,6/24/2024,"$1,522.77","195,835",258,"76,125","74,610",50,0.52%,$1.50,$5.9,131.74%,$30.46,25.53%,38.10%,23.30%,5.10%,2.80%,1.10%,25.30%,19.40%,$19.57,1.29%
Videoleap IOS - UTC,AIVoiceSawpZoey,ZoeyII,manuel,3/1/2023,6/24/2024,$572.44,"75,381",43,"25,635","24,883",6,0.85%,$0.89,$13.3,57.04%,$95.41,7.96%,33.00%,21.50%,5.20%,2.90%,1.20%,6.70%,14.00%,,
Videoleap IOS - UTC,DenoiseFeatures,Josh,manuel,3/1/2023,6/24/2024,$660.06,"286,639",34,"19,083","18,572",2,0.14%,$1.64,$19.4,11.86%,$330.03,0.70%,6.50%,3.20%,1.80%,1.60%,0.90%,8.50%,5.90%,,
Videoleap IOS - UTC,GamingShowOffTutorial,LoadAvatar,manuel,3/1/2023,6/24/2024,$565.26,"356,813",59,"35,535","34,742",3,0.19%,$0.85,$9.6,16.54%,$188.42,0.84%,9.70%,6.90%,3.10%,2.10%,1.50%,8.90%,5.10%,,
